cache_state,scheme,target_block,samples,mean_ns,median_ns,stdev_ns
warm,Ratchet-CBC-SHA3-256,192,1000,112652.547,104726.000,26094.667
warm,Ratchet-CBC-SHA3-256,256,1000,150221.946,139838.000,30987.908
cache-thrashed,Ratchet-CBC-SHA3-256,1,80,578.788,445.000,386.909
cache-thrashed,Ratchet-CBC-SHA3-256,32,80,19623.987,17977.000,5964.618
cache-thrashed,Ratchet-CBC-SHA3-256,64,80,37926.025,35427.500,7645.883
cache-thrashed,Ratchet-CBC-SHA3-256,128,80,73282.825,70495.000,8906.981
cache-thrashed,Ratchet-CBC-SHA3-256,192,80,113570.438,105577.000,27601.795
cache-thrashed,Ratchet-CBC-SHA3-256,256,80,146868.850,140544.000,13431.719
warm,Ratchet-CBC-SHA-256,1,1000,174.031,170.000,29.012
warm,Ratchet-CBC-SHA-256,32,1000,8145.458,7792.000,4732.803
warm,Ratchet-CBC-SHA-256,64,1000,16614.071,15603.500,9640.212
warm,Ratchet-CBC-SHA-256,128,1000,33031.475,31206.500,13793.532
warm,Ratchet-CBC-SHA-256,192,1000,49970.880,46870.000,17382.600
warm,Ratchet-CBC-SHA-256,256,1000,67851.059,62573.000,35728.039
cache-thrashed,Ratchet-CBC-SHA-256,1,80,538.138,425.500,267.540
cache-thrashed,Ratchet-CBC-SHA-256,32,80,9311.362,8473.000,2904.605
cache-thrashed,Ratchet-CBC-SHA-256,64,80,16787.162,16229.500,2174.415
cache-thrashed,Ratchet-CBC-SHA-256,128,80,34088.838,31782.000,9269.651
cache-thrashed,Ratchet-CBC-SHA-256,192,80,51412.225,47395.500,16858.343
cache-thrashed,Ratchet-CBC-SHA-256,256,80,67473.863,62883.000,20241.530
