implementation,operation,sector_bytes,volume_bytes,trials,mean_ns,median_ns,stdev_ns,mean_mib_s,median_mib_s,mean_ns_per_sector,mean_ns_per_byte,median_ns_per_byte,mean_tsc_cycles_per_byte
Ratchet-CBC-BLAKE2s-256,decrypt,512,33554432,5,1157532430.400,1148198923.000,15795870.869,27.645014,27.869735,17662.543,34.497154665,34.218994468,89.559432
Ratchet-CBC-SHA3-256,encrypt,512,33554432,5,1566685074.200,1565941838.000,38999494.083,20.425292,20.434986,23905.717,46.690853661,46.668703496,121.215987
Ratchet-CBC-SHA3-256,decrypt,512,33554432,5,1577858481.600,1569905517.000,25852075.432,20.280653,20.383392,24076.210,47.023847151,46.786830336,122.080472
Ratchet-CBC-SHA-256,encrypt,512,33554432,5,843447913.200,836037293.000,14980776.350,37.939509,38.275805,12869.994,25.136706626,24.915852934,65.258426
Ratchet-CBC-SHA-256,decrypt,512,33554432,5,887092849.600,884965911.000,16164585.550,36.072887,36.159585,13535.963,26.437427092,26.374039382,68.635254
AES-ECB,encrypt,4096,1048576,5,925280.000,855250.000,151158.104,1080.753934,1169.248758,3614.375,0.882415771,0.815629959,2.291534
AES-ECB,decrypt,4096,1048576,5,1229207.200,1229886.000,28179.112,813.532495,813.083489,4801.591,1.172263336,1.172910690,3.043518
AES-XTS-manual-sequential,encrypt,4096,1048576,5,2597803.400,2590457.000,60897.810,384.940600,386.032272,10147.670,2.477458382,2.470452309,6.432001
AES-XTS-manual-sequential,decrypt,4096,1048576,5,2638263.200,2605639.000,51631.646,379.037239,383.783018,10305.716,2.516043854,2.484930992,6.532145
AES-XTS-OpenSSL-full-sector,encrypt,4096,1048576,5,292132.000,285865.000,13285.098,3423.110101,3498.154723,1141.141,0.278598785,0.272622108,0.723439
AES-XTS-OpenSSL-full-sector,decrypt,4096,1048576,5,297169.000,282449.000,22384.941,3365.088552,3540.462172,1160.816,0.283402443,0.269364357,0.735902
Ratchet-CTR-AES,encrypt,4096,1048576,5,8426185.200,8432480.000,144666.844,118.677667,118.589075,32914.786,8.035836411,8.041839600,20.862604
Ratchet-CTR-AES,decrypt,4096,1048576,5,8555593.400,8409497.000,300379.948,116.882600,118.913176,33420.287,8.159249687,8.019921303,21.182709
Ratchet-CTR-BLAKE3,encrypt,4096,1048576,5,15029141.400,15064327.000,201808.508,66.537400,66.381990,58707.584,14.332906151,14.366461754,37.210715
Ratchet-CTR-BLAKE3,decrypt,4096,1048576,5,19550378.600,16879673.000,6019330.030,51.149905,59.242854,76368.666,18.644693947,16.097710609,48.404370
Ratchet-CTR-BLAKE2s-256,encrypt,4096,1048576,5,37415258.400,34776406.000,5594982.740,26.727064,28.755128,146153.353,35.681970978,33.165365219,92.635850
Ratchet-CTR-BLAKE2s-256,decrypt,4096,1048576,5,34261958.000,34306358.000,235323.765,29.186890,29.149116,133835.773,32.674749374,32.717092514,84.828427
Ratchet-CTR-SHA3-256,encrypt,4096,1048576,5,47077839.400,47198660.000,448851.945,21.241417,21.187042,183897.810,44.896926308,45.012149811,116.559116
Ratchet-CTR-SHA3-256,decrypt,4096,1048576,5,47092861.600,46909091.000,322556.221,21.234641,21.317829,183956.491,44.911252594,44.735995293,116.596130
Ratchet-CTR-SHA-256,encrypt,4096,1048576,5,24767917.600,24798300.000,166540.171,40.374811,40.325345,96749.678,23.620526886,23.649501801,61.322585
Ratchet-CTR-SHA-256,decrypt,4096,1048576,5,24643663.200,24725893.000,201782.398,40.578383,40.443433,96264.309,23.502028656,23.580449104,61.014758
Ratchet-CBC-AES,encrypt,4096,1048576,5,7612863.400,7605163.000,119582.666,131.356619,131.489621,29737.748,7.260192299,7.252848625,18.848835
Ratchet-CBC-AES,decrypt,4096,1048576,5,8922993.200,8362197.000,1423924.376,112.070017,119.585798,34855.442,8.509629440,7.974812508,22.092442
Ratchet-CBC-BLAKE3,encrypt,4096,1048576,5,15360792.000,15127722.000,753524.375,65.100810,66.103806,60003.094,14.649192810,14.426919937,38.031953
