implementation,threads,sector_bytes,volume_bytes,trials,mean_ns,stdev_ns,mean_mib_s,speedup,efficiency
Ratchet-CTR-SHA-256,7,4096,67108864,5,1056405805.600,158833228.704,60.582780,1.541450,0.220207
Ratchet-CTR-SHA-256,8,4096,67108864,5,974859477.200,92402155.190,65.650488,1.670391,0.208799
Ratchet-CTR-SHA-256,9,4096,67108864,5,1331116803.800,83701378.993,48.079928,1.223331,0.135926
Ratchet-CBC-AES,1,4096,67108864,5,526935242.800,9402008.958,121.457050,1.000000,1.000000
Ratchet-CBC-AES,2,4096,67108864,5,303541526.600,16952409.124,210.844298,1.735958,0.867979
Ratchet-CBC-AES,3,4096,67108864,5,190591431.000,15832602.862,335.796839,2.764737,0.921579
Ratchet-CBC-AES,4,4096,67108864,5,142007705.400,19900970.274,450.679770,3.710610,0.927653
Ratchet-CBC-AES,5,4096,67108864,5,151758261.400,17666238.520,421.723334,3.472201,0.694440
Ratchet-CBC-AES,6,4096,67108864,5,144310466.400,6723771.535,443.488276,3.651400,0.608567
Ratchet-CBC-AES,7,4096,67108864,5,155215112.000,58126369.040,412.330985,3.394871,0.484982
Ratchet-CBC-AES,8,4096,67108864,5,113069119.600,4221487.859,566.025456,4.660293,0.582537
Ratchet-CBC-AES,9,4096,67108864,5,102853684.000,6668892.057,622.243147,5.123154,0.569239
Ratchet-CBC-BLAKE3,1,4096,67108864,5,1007163948.000,16638758.897,63.544769,1.000000,1.000000
Ratchet-CBC-BLAKE3,2,4096,67108864,5,536652302.800,40256075.703,119.257850,1.876753,0.938377
Ratchet-CBC-BLAKE3,3,4096,67108864,5,415096177.600,32251823.231,154.181135,2.426339,0.808780
Ratchet-CBC-BLAKE3,4,4096,67108864,5,324915679.000,31603309.788,196.974182,3.099770,0.774943
Ratchet-CBC-BLAKE3,5,4096,67108864,5,269412545.600,21498596.514,237.553897,3.738371,0.747674
Ratchet-CBC-BLAKE3,6,4096,67108864,5,226474384.200,15551989.892,282.592666,4.447143,0.741190
Ratchet-CBC-BLAKE3,7,4096,67108864,5,224254448.400,49823571.777,285.390102,4.491166,0.641595
Ratchet-CBC-BLAKE3,8,4096,67108864,5,185995916.800,14695714.197,344.093575,5.414979,0.676872
Ratchet-CBC-BLAKE3,9,4096,67108864,5,175105526.400,21647544.363,365.493890,5.751754,0.639084
Ratchet-CBC-BLAKE2s-256,1,4096,67108864,5,2226483560.400,13771982.680,28.744879,1.000000,1.000000
Ratchet-CBC-BLAKE2s-256,2,4096,67108864,5,2309132793.400,369958627.396,27.716033,0.964208,0.482104
Ratchet-CBC-BLAKE2s-256,3,4096,67108864,5,2037596227.400,73974319.706,31.409560,1.092701,0.364234
Ratchet-CBC-BLAKE2s-256,4,4096,67108864,5,1541004476.600,271835002.982,41.531352,1.444826,0.361207
Ratchet-CBC-BLAKE2s-256,5,4096,67108864,5,1423615332.600,240527696.036,44.955964,1.563964,0.312793
Ratchet-CBC-BLAKE2s-256,6,4096,67108864,5,1643368067.000,98108456.009,38.944410,1.354830,0.225805
Ratchet-CBC-BLAKE2s-256,7,4096,67108864,5,1521722970.800,52312276.604,42.057589,1.463133,0.209019
Ratchet-CBC-BLAKE2s-256,8,4096,67108864,5,1463861197.000,36406192.680,43.719992,1.520966,0.190121
Ratchet-CBC-BLAKE2s-256,9,4096,67108864,5,1611187957.200,46287170.217,39.722243,1.381889,0.153543
Ratchet-CBC-SHA3-256,1,4096,67108864,5,3064717350.800,37067550.796,20.882839,1.000000,1.000000
Ratchet-CBC-SHA3-256,2,4096,67108864,5,2258521133.800,380822141.051,28.337127,1.356958,0.678479
Ratchet-CBC-SHA3-256,3,4096,67108864,5,2101929155.200,114806595.699,30.448219,1.458050,0.486017
Ratchet-CBC-SHA3-256,4,4096,67108864,5,1783297329.200,201340774.947,35.888575,1.718568,0.429642
Ratchet-CBC-SHA3-256,5,4096,67108864,5,1625764497.400,150556049.107,39.366095,1.885093,0.377019
Ratchet-CBC-SHA3-256,6,4096,67108864,5,1589195037.200,127743530.075,40.271961,1.928472,0.321412
Ratchet-CBC-SHA3-256,7,4096,67108864,5,1622578003.400,54862718.230,39.443404,1.888795,0.269828
Ratchet-CBC-SHA3-256,8,4096,67108864,5,1540393620.200,43671581.371,41.547822,1.989568,0.248696
Ratchet-CBC-SHA3-256,9,4096,67108864,5,1489467074.400,76521899.882,42.968389,2.057593,0.228621
Ratchet-CBC-SHA-256,1,4096,67108864,5,1681116978.000,22716769.771,38.069927,1.000000,1.000000
Ratchet-CBC-SHA-256,2,4096,67108864,5,1412621898.800,280504718.910,45.305825,1.190069,0.595034
Ratchet-CBC-SHA-256,3,4096,67108864,5,1461944486.000,160453451.433,43.777312,1.149918,0.383306
Ratchet-CBC-SHA-256,4,4096,67108864,5,1235939672.200,148770275.586,51.782463,1.360193,0.340048
Ratchet-CBC-SHA-256,5,4096,67108864,5,1353210810.400,54033954.387,47.294922,1.242317,0.248463
Ratchet-CBC-SHA-256,6,4096,67108864,5,1319660898.200,103611761.804,48.497307,1.273901,0.212317
Ratchet-CBC-SHA-256,7,4096,67108864,5,1288851842.800,93627057.376,49.656600,1.304352,0.186336
Ratchet-CBC-SHA-256,8,4096,67108864,5,1262907668.200,126170869.219,50.676706,1.331148,0.166393
Ratchet-CBC-SHA-256,9,4096,67108864,5,1391629626.400,82549359.949,45.989248,1.208020,0.134224
